date,frequency,cases,objectid2,recovered,dailyrecovered,totaldeaths,dailydeaths,totaltested,dailytested,totalactive,dailyactive,totalhospitalized,dailyhospitalized,totalicu,dailyicu,retrieved_at
1579953600000,1,1,1,0,0,0,0,0,0,1,1,,,,,2020-04-29 14:16:03
1580040000000,0,1,2,0,0,0,0,0,0,1,0,,,,,2020-04-29 14:16:03
1580126400000,1,2,3,0,0,0,0,0,0,2,1,,,,,2020-04-29 14:16:03
1580212800000,1,3,4,0,0,0,0,0,0,3,1,,,,,2020-04-29 14:16:03
1580299200000,0,3,5,0,0,0,0,0,0,3,0,,,,,2020-04-29 14:16:03
1580385600000,0,3,6,0,0,0,0,0,0,3,0,,,,,2020-04-29 14:16:03
1580472000000,1,4,7,0,0,0,0,0,0,4,1,,,,,2020-04-29 14:16:03
1580558400000,0,4,8,0,0,0,0,0,0,4,0,,,,,2020-04-29 14:16:03
1580644800000,0,4,9,0,0,0,0,0,0,4,0,,,,,2020-04-29 14:16:03
1580731200000,0,4,10,0,0,0,0,0,0,4,0,,,,,2020-04-29 14:16:03
1580817600000,1,5,11,0,0,0,0,0,0,5,1,,,,,2020-04-29 14:16:03
1580904000000,0,5,12,0,0,0,0,0,0,5,0,,,,,2020-04-29 14:16:03
1580990400000,2,7,13,0,0,0,0,0,0,7,2,,,,,2020-04-29 14:16:03
1581076800000,0,7,14,0,0,0,0,0,0,7,0,,,,,2020-04-29 14:16:03
1581163200000,0,7,15,0,0,0,0,0,0,7,0,,,,,2020-04-29 14:16:03
1581249600000,0,7,16,0,0,0,0,0,0,7,0,,,,,2020-04-29 14:16:03
1581336000000,0,7,17,0,0,0,0,0,0,7,0,,,,,2020-04-29 14:16:03
1581422400000,0,7,18,0,0,0,0,0,0,7,0,,,,,2020-04-29 14:16:03
1581508800000,0,7,19,1,1,0,0,0,0,6,0,,,,,2020-04-29 14:16:03
1581595200000,0,7,20,1,0,0,0,0,0,6,0,,,,,2020-04-29 14:16:03
1581681600000,1,8,21,1,0,0,0,0,0,7,1,,,,,2020-04-29 14:16:03
1581768000000,0,8,22,1,0,0,0,0,0,7,0,,,,,2020-04-29 14:16:03
1581854400000,0,8,23,1,0,0,0,0,0,7,0,,,,,2020-04-29 14:16:03
1581940800000,0,8,24,1,0,0,0,0,0,7,0,,,,,2020-04-29 14:16:03
1582027200000,0,8,25,1,0,0,0,0,0,7,0,,,,,2020-04-29 14:16:03
1582113600000,0,8,26,2,1,0,0,0,0,6,0,,,,,2020-04-29 14:16:03
1582200000000,1,9,27,3,1,0,0,0,0,6,1,,,,,2020-04-29 14:16:03
1582286400000,0,9,28,4,1,0,0,0,0,5,0,,,,,2020-04-29 14:16:03
1582372800000,0,9,29,4,0,0,0,0,0,5,0,,,,,2020-04-29 14:16:03
1582459200000,1,10,30,4,0,0,0,0,0,6,1,,,,,2020-04-29 14:16:03
1582545600000,1,11,31,4,0,0,0,0,0,7,1,,,,,2020-04-29 14:16:03
1582632000000,0,11,32,7,3,0,0,0,0,4,-3,,,,,2020-04-29 14:16:03
1582718400000,1,12,33,7,0,0,0,0,0,5,1,,,,,2020-04-29 14:16:03
1582804800000,2,14,34,7,0,0,0,0,0,7,2,,,,,2020-04-29 14:16:03
1582891200000,2,16,35,7,0,0,0,0,0,9,2,,,,,2020-04-29 14:16:03
1582977600000,4,20,36,7,0,0,0,0,0,13,4,,,,,2020-04-29 14:16:03
1583064000000,4,24,37,7,0,0,0,0,0,17,4,,,,,2020-04-29 14:16:03
1583150400000,0,24,38,7,0,0,0,0,0,17,0,,,,,2020-04-29 14:16:03
1583236800000,9,33,39,7,0,0,0,0,0,26,9,,,,,2020-04-29 14:16:03
1583323200000,1,34,40,7,0,0,0,0,0,27,1,,,,,2020-04-29 14:16:03
1583409600000,12,46,41,8,1,0,0,0,0,38,11,,,,,2020-04-29 14:16:03
1583496000000,8,54,42,8,0,0,0,0,0,46,8,,,,,2020-04-29 14:16:03
1583582400000,6,60,43,8,0,0,0,0,0,52,6,,,,,2020-04-29 14:16:03
1583668800000,7,67,44,8,0,1,1,0,0,58,7,,,,,2020-04-29 14:16:03
1583755200000,19,86,45,9,1,1,0,0,0,76,18,,,,,2020-04-29 14:16:03
1583841600000,9,95,46,9,0,1,0,0,0,85,9,,,,,2020-04-29 14:16:03
1583928000000,21,116,47,9,0,2,1,0,0,105,20,,,,,2020-04-29 14:16:03
1584014400000,40,156,48,9,0,2,0,0,0,145,40,,,,,2020-04-29 14:16:03
1584100800000,42,198,49,10,1,2,0,0,0,186,41,,,,,2020-04-29 14:16:03
1584187200000,59,257,50,10,0,2,0,0,0,245,59,,,,,2020-04-29 14:16:03
1584273600000,84,341,51,10,0,2,0,23752,23752,329,84,,,,,2020-04-29 14:16:03
1584360000000,100,441,52,10,0,5,3,37878,14126,426,97,,,,,2020-04-29 14:16:03
1584446400000,156,597,53,10,0,8,3,43611,5733,579,153,,,,,2020-04-29 14:16:03
1584532800000,130,727,54,11,1,9,1,51436,7825,707,128,,,,,2020-04-29 14:16:03
1584619200000,146,873,55,13,2,12,3,59670,8234,848,141,,,,,2020-04-29 14:16:03
1584705600000,214,1087,56,15,2,13,1,78525,18855,1059,211,,,,,2020-04-29 14:16:03
