objectid,date,bc,ab,sk,mb,nb,ns,pe,nl,repatriated,canadatotal,canadadaily,nt,nu,yt,on,qc,retrieved_at
1,1584288000000,73,56,6,7,6,3,1,1,4,341,84,0,f,0,145,39,2020-05-21 09:06:54
2,1584201600000,73,39,6,4,2,0,1,1,4,257,59,0,f,0,103,24,2020-05-21 09:06:54
3,1584115200000,64,29,2,4,1,0,0,0,2,198,40,0,f,0,79,17,2020-05-21 09:06:54
4,1583942400000,46,19,0,0,1,0,0,0,1,118,22,0,f,0,42,9,2020-05-21 09:06:54
5,1583856000000,39,14,0,0,0,0,0,0,0,96,17,0,f,0,36,7,2020-05-21 09:06:54
6,1583769600000,32,7,0,0,0,0,0,0,0,79,13,0,f,0,35,5,2020-05-21 09:06:54
7,1583600400000,27,2,0,0,0,0,0,0,0,60,6,0,f,0,28,3,2020-05-21 09:06:54
8,1583514000000,21,2,0,0,0,0,0,0,0,54,7,0,f,0,28,3,2020-05-21 09:06:54
9,1583427600000,21,1,0,0,0,0,0,0,0,47,13,0,f,0,22,3,2020-05-21 09:06:54
10,1583254800000,12,0,0,0,0,0,0,0,0,33,6,0,f,0,20,1,2020-05-21 09:06:54
11,1583168400000,8,0,0,0,0,0,0,0,0,27,3,0,f,0,18,1,2020-05-21 09:06:54
12,1583082000000,8,0,0,0,0,0,0,0,0,24,4,0,f,0,15,1,2020-05-21 09:06:54
13,1584374400000,103,74,7,8,7,5,1,1,8,441,100,0,f,0,177,50,2020-05-21 09:06:54
15,1584032400000,53,23,1,3,1,0,0,0,1,158,40,0,f,0,59,17,2020-05-21 09:06:54
16,1583686800000,27,4,0,0,0,0,0,0,0,66,6,0,f,0,31,4,2020-05-21 09:06:54
18,1584446400000,186,97,8,15,8,7,1,3,9,597,156,0,f,0,189,74,2020-05-21 09:06:54
19,1584532800000,231,119,16,17,11,12,1,3,9,727,130,0,f,0,214,94,2020-05-21 09:06:54
20,1584619200000,271,146,20,17,11,14,2,3,10,873,146,0,f,0,258,121,2020-05-21 09:06:54
21,1584705600000,348,195,26,17,11,15,2,4,12,1087,214,0,f,0,318,139,2020-05-21 09:06:54
22,1579953600000,0,0,0,0,0,0,0,0,0,1,1,0,f,0,1,0,2020-05-21 09:06:54
23,1580126400000,0,0,0,0,0,0,0,0,0,2,1,0,f,0,2,0,2020-05-21 09:06:54
24,1580212800000,1,0,0,0,0,0,0,0,0,3,1,0,f,0,2,0,2020-05-21 09:06:54
25,1580472000000,1,0,0,0,0,0,0,0,0,4,1,0,f,0,3,0,2020-05-21 09:06:54
26,1580817600000,2,0,0,0,0,0,0,0,0,5,1,0,f,0,3,0,2020-05-21 09:06:54
27,1580990400000,4,0,0,0,0,0,0,0,0,7,2,0,f,0,3,0,2020-05-21 09:06:54
28,1581681600000,5,0,0,0,0,0,0,0,0,8,1,0,f,0,3,0,2020-05-21 09:06:54
29,1582200000000,6,0,0,0,0,0,0,0,0,9,1,0,f,0,3,0,2020-05-21 09:06:54
30,1582459200000,6,0,0,0,0,0,0,0,0,10,1,0,f,0,4,0,2020-05-21 09:06:54
31,1582545600000,7,0,0,0,0,0,0,0,0,11,1,0,f,0,4,0,2020-05-21 09:06:54
32,1582718400000,7,0,0,0,0,0,0,0,0,12,1,0,f,0,5,0,2020-05-21 09:06:54
33,1582804800000,7,0,0,0,0,0,0,0,0,14,2,0,f,0,6,1,2020-05-21 09:06:54
34,1582891200000,7,0,0,0,0,0,0,0,0,16,2,0,f,0,8,1,2020-05-21 09:06:54
35,1582977600000,8,0,0,0,0,0,0,0,0,20,4,0,f,0,11,1,2020-05-21 09:06:54
36,1583323200000,13,0,0,0,0,0,0,0,0,34,1,0,f,0,20,1,2020-05-21 09:06:54
37,1584792000000,424,226,44,19,17,21,2,6,13,1331,244,1,f,0,377,181,2020-05-21 09:06:54
38,1584878400000,424,259,52,20,17,28,3,9,13,1470,139,1,f,0,425,219,2020-05-21 09:06:54
40,1584964800000,472,301,66,20,17,41,3,24,13,2091,621,1,f,2,503,628,2020-05-21 09:06:54
41,1585051200000,617,358,72,21,18,51,3,35,13,2792,701,1,f,2,588,1013,2020-05-21 09:06:54
42,1585137600000,659,419,86,35,26,68,5,67,13,3409,617,1,f,3,688,1339,2020-05-21 09:06:54
43,1585224000000,725,486,95,36,33,73,9,82,13,4043,634,1,f,3,858,1629,2020-05-21 09:06:54
44,1585310400000,792,542,104,39,45,90,11,102,13,4757,714,1,f,4,993,2021,2020-05-21 09:06:54
45,1585396800000,884,621,134,64,51,110,11,120,13,5655,898,1,f,4,1144,2498,2020-05-21 09:06:54
46,1585483200000,884,661,156,72,66,122,11,135,13,6320,665,1,f,4,1355,2840,2020-05-21 09:06:54
47,1585569600000,970,690,176,96,68,127,18,148,13,7448,1128,1,f,5,1706,3430,2020-05-21 09:06:54
48,1585656000000,1013,754,184,103,70,147,21,152,13,8591,1143,1,f,5,1966,4162,2020-05-21 09:06:54
49,1585742400000,1066,871,193,127,81,173,21,175,13,9731,1140,2,f,6,2392,4611,2020-05-21 09:06:54
50,1585828800000,1121,968,206,167,92,193,21,183,13,11283,1552,2,f,6,2793,5518,2020-05-21 09:06:54
51,1585945560000,1174,1075,220,182,95,207,22,195,13,12549,1266,4,f,6,3255,6101,2020-05-21 09:06:54
52,1586029080000,1203,1181,231,194,98,236,22,203,13,14018,1469,4,f,6,3630,6997,2020-05-21 09:06:54
53,1586116440000,1203,1250,249,203,101,262,22,217,13,15512,1494,4,f,6,4038,7944,2020-05-21 09:06:54
54,1586205840000,1266,1348,253,204,103,293,22,226,13,16667,1155,5,f,7,4347,8580,2020-05-21 09:06:54
55,1586265300000,1291,1373,260,217,105,310,22,228,13,17898,1231,5,f,7,4726,9340,2020-05-21 09:06:54
56,1586390340000,1336,1423,271,221,108,342,25,232,13,19290,1393,5,f,7,5276,10031,2020-05-21 09:06:54
57,1586433600000,1370,1451,278,224,111,373,25,236,13,20765,1474,5,f,8,5759,10912,2020-05-21 09:06:54
60,1586520000000,1410,1500,285,230,112,407,25,239,13,22148,1383,5,f,8,6237,11677,2020-05-21 09:06:54
61,1586606400000,1445,1569,289,243,112,428,25,241,13,23318,1170,5,f,8,6648,12292,2020-05-21 09:06:54
62,1586692800000,1445,1651,298,242,114,445,25,242,13,24383,1065,5,f,8,7049,12846,2020-05-21 09:06:54
64,1586779200000,1490,1732,300,246,116,474,25,244,13,25680,1297,5,f,8,7470,13557,2020-05-21 09:06:54
65,1586865600000,1517,1870,301,246,116,517,25,244,13,27063,1383,5,f,8,7953,14248,2020-05-21 09:06:54
66,1586952000000,1561,1996,304,246,117,549,26,247,13,28379,1316,5,f,8,8447,14860,2020-05-21 09:06:54
67,1587038400000,1575,2158,305,250,117,579,26,252,13,30106,1727,5,f,8,8961,15857,2020-05-21 09:06:54
68,1587124800000,1618,2397,307,250,117,606,26,256,13,31927,1821,5,f,9,9525,16798,2020-05-21 09:06:54
69,1587211200000,1647,2562,313,253,118,649,26,257,13,33383,1456,5,f,9,10010,17521,2020-05-21 09:06:54
70,1587297600000,1647,2803,315,253,118,675,26,257,13,35056,1673,5,f,9,10578,18357,2020-05-21 09:06:54
72,1587384000000,1699,2908,316,254,118,721,26,257,13,36831,1775,5,f,11,11184,19319,2020-05-21 09:06:54
73,1587470400000,1724,3095,320,255,118,737,26,257,13,38422,1591,5,f,11,11735,20126,2020-05-21 09:06:54
74,1587556800000,1795,3401,326,257,118,772,26,256,13,40190,1768,5,f,11,12245,20965,2020-05-21 09:06:54
75,1587643200000,1824,3720,331,262,118,827,26,256,13,42110,1920,5,f,11,12879,21838,2020-05-21 09:06:54
76,1587729600000,1853,4017,341,263,118,850,26,256,13,43888,1778,5,f,11,13519,22616,2020-05-21 09:06:54
77,1587816000000,1948,4233,349,267,118,865,26,257,13,45354,1466,5,f,11,13995,23267,2020-05-21 09:06:54
78,1587902400000,1948,4480,353,271,118,873,26,258,13,46895,1541,5,f,11,14432,24107,2020-05-21 09:06:54
79,1587988800000,1998,4696,365,272,118,900,26,258,13,48500,1597,5,f,11,14856,24982,2020-05-21 09:06:54
80,1588075200000,2053,4850,366,272,118,915,27,258,13,50026,1526,5,f,11,15381,25757,2020-05-21 09:06:54
81,1588161600000,2087,5165,383,273,118,935,27,258,13,51597,1571,5,f,11,15728,26594,2020-05-21 09:06:54
82,1588248000000,2112,5355,389,275,118,947,27,258,13,53236,1639,5,t,11,16187,27538,2020-05-21 09:06:54
83,1588334400000,2145,5573,415,279,118,959,27,259,13,55061,1825,5,t,11,16608,28648,2020-05-21 09:06:54
84,1588420800000,2171,5670,421,280,118,963,27,259,13,56714,1653,5,t,11,17119,29656,2020-05-21 09:06:54
85,1588507200000,2171,5766,433,281,118,971,27,259,13,59474,2760,5,t,11,17553,31865,2020-05-21 09:06:54
86,1588593600000,2224,5836,467,281,118,985,27,259,13,60772,1298,5,f,11,17923,32623,2020-05-21 09:06:54
90,1588680000000,2232,5893,487,282,119,991,27,259,13,62046,1274,5,f,11,18310,33417,2020-05-21 09:06:54
91,1588766400000,2255,5963,512,284,120,998,27,259,13,63496,1450,5,f,11,18722,34327,2020-05-21 09:06:54
92,1588852800000,2288,6017,531,283,120,1007,27,261,13,64922,1426,5,f,11,19121,35238,2020-05-21 09:06:54
93,1588939200000,2315,6098,544,284,120,1008,27,261,13,66434,1512,5,f,11,19598,36150,2020-05-21 09:06:54
94,1589025600000,2330,6157,553,284,120,1011,27,261,13,67702,1268,5,f,11,19944,36986,2020-05-21 09:06:54
95,1589112000000,2330,6253,564,287,120,1018,27,261,13,68848,1146,5,f,11,20238,37721,2020-05-21 09:06:54
96,1589198400000,2353,6300,568,289,120,1019,27,261,13,69981,1133,5,f,11,20546,38469,2020-05-21 09:06:54
97,1589284800000,2360,6345,573,290,120,1020,27,261,13,71157,1176,5,f,11,20907,39225,2020-05-21 09:06:54
98,1589371200000,2376,6407,577,290,120,1024,27,261,13,72278,1121,5,f,11,21236,39931,2020-05-21 09:06:54
